id,name,description,createdAt,updatedAt,User_id
1,Scaly-breasted lorikeet,Stand-alone responsive synergy,Date.now(),Date.now(),14
2,"Heron, green",Multi-tiered didactic knowledge base,Date.now(),Date.now(),11
3,Bush dog,Stand-alone system-worthy help-desk,Date.now(),Date.now(),1
4,"Mongoose, javan gold-spotted",Extended methodical challenge,Date.now(),Date.now(),28
5,Pine siskin,Face to face maximized analyzer,Date.now(),Date.now(),18
6,"Falcon, peregrine",Extended 24 hour local area network,Date.now(),Date.now(),35
7,"Duck, mountain",Stand-alone multi-state projection,Date.now(),Date.now(),33
8,"Weaver, white-browed sparrow",Universal zero defect model,Date.now(),Date.now(),25
9,Least chipmunk,Centralized system-worthy paradigm,Date.now(),Date.now(),18
10,"Capuchin, black-capped",Programmable non-volatile open system,Date.now(),Date.now(),16
11,Paddy heron (unidentified),Ergonomic dedicated instruction set,Date.now(),Date.now(),50
12,"Bunting, crested",Upgradable value-added intranet,Date.now(),Date.now(),2
13,Grey mouse lemur,Progressive asymmetric attitude,Date.now(),Date.now(),11
14,Greater rhea,Synergistic neutral implementation,Date.now(),Date.now(),50
15,"Kookaburra, laughing",Monitored eco-centric array,Date.now(),Date.now(),21
16,"Lion, african",Open-architected hybrid hierarchy,Date.now(),Date.now(),42
17,"Lizard, frilled",Operative 24 hour extranet,Date.now(),Date.now(),33
18,"Hoopoe, eurasian",Right-sized transitional access,Date.now(),Date.now(),40
19,Killer whale,Virtual system-worthy function,Date.now(),Date.now(),19
20,Jaguarundi,Secured radical service-desk,Date.now(),Date.now(),14
21,Madagascar hawk owl,Programmable scalable standardization,Date.now(),Date.now(),3
22,"Magpie, australian",User-centric encompassing architecture,Date.now(),Date.now(),27
23,Small-toothed palm civet,Reduced bifurcated hub,Date.now(),Date.now(),37
24,"Hawk, galapagos",Future-proofed intermediate alliance,Date.now(),Date.now(),17
25,"Boa, malagasy ground",Visionary non-volatile structure,Date.now(),Date.now(),39
